date,portfolio_value
20191231,100000.00000000012
20191231,100000.00000000012
20200102,101592.38595545993
20200102,101592.38595545993
20200103,101692.95394982111
20200103,101692.95394982111
20200106,101733.54308281458
20200106,101733.54308281458
20200107,102514.84346300868
20200107,102514.84346300868
20200108,101044.98533583958
20200108,101044.98533583958
20200109,102284.81069865527
20200109,102284.81069865527
20200110,102181.60430423447
20200110,102181.60430423447
20200113,103276.1614508147
20200113,103276.1614508147
20200114,103109.03792385358
20200114,103109.03792385358
20200115,102489.3251334561
20200115,102489.3251334561
20200116,102094.52585720988
20200116,102094.52585720988
20200117,102184.41435727313
20200117,102184.41435727313
20200120,103134.57848134406
20200120,103134.57848134406
20200121,101562.83101156431
20200121,101562.83101156431
20200122,102132.65282777551
20200122,102132.65282777551
20200123,98988.23930061341
20200123,98988.23930061341
20200203,90550.87162934736
20200203,90550.87162934736
20200204,92202.13061980254
20200204,92202.13061980254
20200205,93784.0618909582
20200205,93784.0618909582
20200206,95894.46228055855
20200206,95894.46228055855
20200207,96229.8276949252
20200207,96229.8276949252
20200210,96915.44083685268
20200210,96915.44083685268
20200211,97223.90065441087
20200211,97223.90065441087
20200212,98436.60182998408
20200212,98436.60182998408
20200213,97931.69872578586
20200213,97931.69872578586
20200214,98624.43483764734
20200214,98624.43483764734
20200217,101403.03121507012
20200217,101403.03121507012
20200218,101408.87208452943
20200218,101408.87208452943
20200219,100828.68663255597
20200219,100828.68663255597
20200220,103149.00090642563
20200220,103149.00090642563
20200221,103781.69343266792
20200221,103781.69343266792
20200224,103934.59725974438
20200224,103934.59725974438
20200225,103937.6364364135
20200225,103937.6364364135
20200226,102201.74604369781
20200226,102201.74604369781
20200227,102192.44163174831
20200227,102192.44163174831
20200228,98059.267380586
20200228,98059.267380586
20200302,101606.2175963591
20200302,101606.2175963591
20200303,102218.02515833687
20200303,102218.02515833687
20200304,102895.33530842102
20200304,102895.33530842102
20200305,104733.16848221196
20200305,104733.16848221196
20200306,103221.34989517511
20200306,103221.34989517511
20200309,99549.61987924545
20200309,99549.61987924545
20200310,101823.99330897616
20200310,101823.99330897616
20200311,100605.59388334697
20200311,100605.59388334697
20200312,98659.30265932564
20200312,98659.30265932564
20200313,97552.63686269279
20200313,97552.63686269279
20200316,93317.35629079588
20200316,93317.35629079588
20200317,93022.55213792616
20200317,93022.55213792616
20200318,91256.0591713282
20200318,91256.0591713282
20200319,90755.01586267681
20200319,90755.01586267681
20200320,92015.82811740533
20200320,92015.82811740533
20200323,88498.36906298119
20200323,88498.36906298119
20200324,90477.28476912796
20200324,90477.28476912796
20200325,92890.95259600971
20200325,92890.95259600971
20200326,92059.50631287014
20200326,92059.50631287014
20200327,92249.40189543189
20200327,92249.40189543189
20200330,91094.4525773779
20200330,91094.4525773779
20200331,91231.92182731921
20200331,91231.92182731921
20200331,100000.00000000012
20200331,100000.00000000012
20200401,99507.99765451101
20200401,99507.99765451101
20200402,101216.99688748062
20200402,101216.99688748062
20200403,100568.545028093
20200403,100568.545028093
20200407,103073.4417661983
20200407,103073.4417661983
20200408,102918.88906085234
20200408,102918.88906085234
20200409,103409.20776951812
20200409,103409.20776951812
20200410,102003.9356306937
20200410,102003.9356306937
20200413,101407.19877320761
20200413,101407.19877320761
20200414,103453.19517546549
20200414,103453.19517546549
20200415,102782.8603652345
20200415,102782.8603652345
20200416,103057.18250639585
20200416,103057.18250639585
20200417,103576.49187123941
20200417,103576.49187123941
20200420,103978.57830571552
20200420,103978.57830571552
20200421,102864.77648266876
20200421,102864.77648266876
20200422,103502.19928325215
20200422,103502.19928325215
20200423,103257.84834298668
20200423,103257.84834298668
20200424,102057.11743425042
20200424,102057.11743425042
20200427,102145.12452933213
20200427,102145.12452933213
20200428,102169.51178563698
20200428,102169.51178563698
20200429,102602.45411122528
20200429,102602.45411122528
20200430,104550.35809103725
20200430,104550.35809103725
20200506,105517.86492021247
20200506,105517.86492021247
20200507,104970.64361808485
20200507,104970.64361808485
20200508,106032.81531177838
20200508,106032.81531177838
20200511,105999.14953757045
20200511,105999.14953757045
20200512,105777.22910440959
20200512,105777.22910440959
20200513,105969.71813492815
20200513,105969.71813492815
20200514,104865.11102115769
20200514,104865.11102115769
20200515,104682.19692592658
20200515,104682.19692592658
20200518,104674.35500959466
20200518,104674.35500959466
20200519,105455.72802200002
20200519,105455.72802200002
20200520,104683.86903689474
20200520,104683.86903689474
20200521,103844.18269296671
20200521,103844.18269296671
20200522,101715.44446786803
20200522,101715.44446786803
20200525,101481.48462276364
20200525,101481.48462276364
20200526,102809.74422022038
20200526,102809.74422022038
20200527,102241.25576800201
20200527,102241.25576800201
20200528,102170.86250592353
20200528,102170.86250592353
20200529,102490.03534996744
20200529,102490.03534996744
20200601,105172.67085304961
20200601,105172.67085304961
20200602,105352.56590858624
20200602,105352.56590858624
20200603,105058.17583534404
20200603,105058.17583534404
20200604,104468.67004682617
20200604,104468.67004682617
20200605,104866.81610653317
20200605,104866.81610653317
20200608,105258.72243299747
20200608,105258.72243299747
20200609,105819.10033657402
20200609,105819.10033657402
20200610,105577.5256147474
20200610,105577.5256147474
20200611,104773.900329306
20200611,104773.900329306
20200612,104730.11197589317
20200612,104730.11197589317
20200615,103748.5812166133
20200615,103748.5812166133
20200616,105314.43959606111
20200616,105314.43959606111
20200617,105394.85995471056
20200617,105394.85995471056
20200618,106001.9107416978
20200618,106001.9107416978
20200619,107120.97666469293
20200619,107120.97666469293
20200622,107174.67089263149
20200622,107174.67089263149
20200623,107571.98120899661
20200623,107571.98120899661
20200624,107836.67220389978
20200624,107836.67220389978
20200629,106823.00417532078
20200629,106823.00417532078
20200630,108487.70332445977
20200630,108487.70332445977
20200630,100000.00000000012
20200630,100000.00000000012
20200701,101697.04177399774
20200701,101697.04177399774
20200702,104356.62685550601
20200702,104356.62685550601
20200703,106626.26105255392
20200703,106626.26105255392
20200706,112704.86090144375
20200706,112704.86090144375
20200707,112891.9806173077
20200707,112891.9806173077
20200708,115452.56902699126
20200708,115452.56902699126
20200709,117651.52955118369
20200709,117651.52955118369
20200710,115589.66252087202
20200710,115589.66252087202
20200713,118181.21451298741
20200713,118181.21451298741
20200714,117211.55934694351
20200714,117211.55934694351
20200715,114921.2627671812
20200715,114921.2627671812
20200716,109834.8756365549
20200716,109834.8756365549
20200717,109925.13450925257
20200717,109925.13450925257
20200720,113998.33494805328
20200720,113998.33494805328
20200721,113703.24794877309
20200721,113703.24794877309
20200722,114283.93811235258
20200722,114283.93811235258
20200723,114095.74473593482
20200723,114095.74473593482
20200724,109290.15778301432
20200724,109290.15778301432
20200727,109850.69721568594
20200727,109850.69721568594
20200728,110565.26300930952
20200728,110565.26300930952
20200729,113271.11360886955
20200729,113271.11360886955
20200730,112894.76415033762
20200730,112894.76415033762
20200731,113845.18788362113
20200731,113845.18788362113
20200803,116439.93320732415
20200803,116439.93320732415
20200804,116273.98969175854
20200804,116273.98969175854
20200805,116738.93563450134
20200805,116738.93563450134
20200806,117216.27171380697
20200806,117216.27171380697
20200807,115933.63943481495
20200807,115933.63943481495
20200810,116603.30157595157
20200810,116603.30157595157
20200811,114934.53277392172
20200811,114934.53277392172
20200812,114022.69615510965
20200812,114022.69615510965
20200813,113965.67046205804
20200813,113965.67046205804
20200814,115369.80415841802
20200814,115369.80415841802
20200817,118396.21078198176
20200817,118396.21078198176
20200818,118463.0954701228
20200818,118463.0954701228
20200819,117044.967570455
20200819,117044.967570455
20200820,115202.20393012317
20200820,115202.20393012317
20200821,116086.36221578976
20200821,116086.36221578976
20200824,116525.61890896676
20200824,116525.61890896676
20200825,115908.8084291297
20200825,115908.8084291297
20200826,114346.23697394534
20200826,114346.23697394534
20200827,114999.60830659604
20200827,114999.60830659604
20200828,117204.00667162161
20200828,117204.00667162161
20200831,116635.17789640659
20200831,116635.17789640659
20200901,117343.63338261505
20200901,117343.63338261505
20200902,117298.48287921672
20200902,117298.48287921672
20200903,116683.76509311507
20200903,116683.76509311507
20200904,115862.35818119517
20200904,115862.35818119517
20200907,113620.30408330544
20200907,113620.30408330544
20200908,114447.32010360765
20200908,114447.32010360765
20200909,111981.91911395593
20200909,111981.91911395593
20200910,110964.66740390631
20200910,110964.66740390631
20200911,111738.77966455671
20200911,111738.77966455671
20200914,112093.65279854309
20200914,112093.65279854309
20200915,112957.90203264446
20200915,112957.90203264446
20200916,112807.84460681771
20200916,112807.84460681771
20200917,112560.85552972397
20200917,112560.85552972397
20200918,115013.11782835503
20200918,115013.11782835503
20200921,114292.96075794152
20200921,114292.96075794152
20200922,112581.0644869161
20200922,112581.0644869161
20200923,112765.296477429
20200923,112765.296477429
20200924,110477.33044568117
20200924,110477.33044568117
20200925,110360.54963454648
20200925,110360.54963454648
20200928,110185.46674942083
20200928,110185.46674942083
20200929,110597.24350286201
20200929,110597.24350286201
20200930,110296.71865480424
20200930,110296.71865480424
20200930,100000.00000000012
20200930,100000.00000000012
20201009,102034.3161364263
20201009,102034.3161364263
20201012,104675.87723353265
20201012,104675.87723353265
20201013,104860.7490088546
20201013,104860.7490088546
20201014,104066.97736075701
20201014,104066.97736075701
20201015,103793.0490917471
20201015,103793.0490917471
20201016,103675.67683315156
20201016,103675.67683315156
20201019,102918.01335161591
20201019,102918.01335161591
20201020,103568.40103484261
20201020,103568.40103484261
20201021,103326.45665136966
20201021,103326.45665136966
20201022,102796.61379611737
20201022,102796.61379611737
20201023,101731.77403135439
20201023,101731.77403135439
20201026,101141.74172411226
20201026,101141.74172411226
20201027,101276.07054771572
20201027,101276.07054771572
20201028,101769.72004403222
20201028,101769.72004403222
20201029,102131.13848829105
20201029,102131.13848829105
20201030,100422.61841660857
20201030,100422.61841660857
20201102,100671.28834884572
20201102,100671.28834884572
20201103,102174.7437676112
20201103,102174.7437676112
20201104,102527.56185981914
20201104,102527.56185981914
20201105,104165.34898611328
20201105,104165.34898611328
20201106,104186.76312291932
20201106,104186.76312291932
20201109,106296.62362683284
20201109,106296.62362683284
20201110,105576.24427364422
20201110,105576.24427364422
20201111,104589.60540182993
20201111,104589.60540182993
20201112,104692.17987340121
20201112,104692.17987340121
20201113,104123.62066754549
20201113,104123.62066754549
20201116,105392.81532068159
20201116,105392.81532068159
20201117,105350.69425823931
20201117,105350.69425823931
20201118,105403.96756593871
20201118,105403.96756593871
20201119,105767.71053575646
20201119,105767.71053575646
20201120,106452.39907540783
20201120,106452.39907540783
20201123,107654.30488110619
20201123,107654.30488110619
20201124,107391.4051420624
20201124,107391.4051420624
20201125,105929.69919330078
20201125,105929.69919330078
20201126,105906.74073935981
20201126,105906.74073935981
20201127,106942.68413443094
20201127,106942.68413443094
20201130,106881.21605676792
20201130,106881.21605676792
20201201,108733.61670570349
20201201,108733.61670570349
20201202,108812.47739544942
20201202,108812.47739544942
20201203,108408.11455548629
20201203,108408.11455548629
20201204,108277.0229226214
20201204,108277.0229226214
20201207,107066.56152642054
20201207,107066.56152642054
20201208,106800.42718609562
20201208,106800.42718609562
20201209,105142.57597800175
20201209,105142.57597800175
20201210,104934.34635542583
20201210,104934.34635542583
20201211,103876.77765278253
20201211,103876.77765278253
20201214,104190.98341510957
20201214,104190.98341510957
20201215,104398.72920945619
20201215,104398.72920945619
20201216,104172.96313226211
20201216,104172.96313226211
20201217,105510.77197853314
20201217,105510.77197853314
20201218,105619.42268830817
20201218,105619.42268830817
20201221,106599.622974506
20201221,106599.622974506
20201222,104118.64165427584
20201222,104118.64165427584
20201223,105071.36943430608
20201223,105071.36943430608
20201224,104438.29502081776
20201224,104438.29502081776
20201225,105741.54937142658
20201225,105741.54937142658
20201228,105697.61816150173
20201228,105697.61816150173
20201229,105102.0572717708
20201229,105102.0572717708
20201230,106233.84922686782
20201230,106233.84922686782
20201231,108167.55961462777
20201231,108167.55961462777
20201231,100000.0000000001
20201231,100000.0000000001
20210104,101034.4141148968
20210104,101034.4141148968
20210105,102184.38216575318
20210105,102184.38216575318
20210106,102448.08306195917
20210106,102448.08306195917
20210107,103271.63570177603
20210107,103271.63570177603
20210108,103844.41912281328
20210108,103844.41912281328
20210111,102329.39603948596
20210111,102329.39603948596
20210112,104483.79180971601
20210112,104483.79180971601
20210113,104448.02081925636
20210113,104448.02081925636
20210114,103266.89237525882
20210114,103266.89237525882
20210115,102986.35796813486
20210115,102986.35796813486
20210118,104158.43352583214
20210118,104158.43352583214
20210119,103310.96474676127
20210119,103310.96474676127
20210120,103716.49109598463
20210120,103716.49109598463
20210121,104929.99489804571
20210121,104929.99489804571
20210122,104422.91614805673
20210122,104422.91614805673
20210125,104415.97942825087
20210125,104415.97942825087
20210126,102981.99343940994
20210126,102981.99343940994
20210127,103337.6282065303
20210127,103337.6282065303
20210128,101033.38850709429
20210128,101033.38850709429
20210129,100246.9986471428
20210129,100246.9986471428
20210201,101284.49493042302
20210201,101284.49493042302
20210202,102322.40466401861
20210202,102322.40466401861
20210203,101651.12531176138
20210203,101651.12531176138
20210204,100569.73712842686
20210204,100569.73712842686
20210205,100036.86243410422
20210205,100036.86243410422
20210208,101585.226457082
20210208,101585.226457082
20210209,103809.40484106442
20210209,103809.40484106442
20210210,105134.4321353636
20210210,105134.4321353636
20210218,106362.3712077314
20210218,106362.3712077314
20210219,107376.65134194458
20210219,107376.65134194458
20210223,105974.87914462705
20210223,105974.87914462705
20210224,104128.60143991471
20210224,104128.60143991471
20210225,104678.62815536464
20210225,104678.62815536464
20210226,102489.87916253117
20210226,102489.87916253117
20210301,104136.06228749962
20210301,104136.06228749962
20210302,103048.61425325427
20210302,103048.61425325427
20210303,104779.39323408397
20210303,104779.39323408397
20210304,102648.96655419334
20210304,102648.96655419334
20210305,102444.3168822073
20210305,102444.3168822073
20210308,100287.31742686366
20210308,100287.31742686366
20210309,98411.2401359667
20210309,98411.2401359667
20210310,97982.74403128184
20210310,97982.74403128184
20210311,100278.43561601736
20210311,100278.43561601736
20210312,100861.096429888
20210312,100861.096429888
20210315,99799.72162354682
20210315,99799.72162354682
20210316,100358.025589562
20210316,100358.025589562
20210317,100576.9032654931
20210317,100576.9032654931
20210318,101102.1560378604
20210318,101102.1560378604
20210319,99207.76153836137
20210319,99207.76153836137
20210322,100554.87428480321
20210322,100554.87428480321
20210323,99289.76907083653
20210323,99289.76907083653
20210324,97624.5800764456
20210324,97624.5800764456
20210325,97605.9044927521
20210325,97605.9044927521
20210326,99334.22616146287
20210326,99334.22616146287
20210329,99565.06703312327
20210329,99565.06703312327
20210330,99837.23748440946
20210330,99837.23748440946
20210331,99416.09163923508
20210331,99416.09163923508
20210331,100000.0000000001
20210331,100000.0000000001
20210401,100731.8589216311
20210401,100731.8589216311
20210402,101012.10862489823
20210402,101012.10862489823
20210406,101055.84512881468
20210406,101055.84512881468
20210407,101236.97281083518
20210407,101236.97281083518
20210408,101149.92247960065
20210408,101149.92247960065
20210409,100364.39708882952
20210409,100364.39708882952
20210412,98727.62093934315
20210412,98727.62093934315
20210413,98194.97123397769
20210413,98194.97123397769
20210414,99141.96622114224
20210414,99141.96622114224
20210415,98728.8863382697
20210415,98728.8863382697
20210416,99598.79783806928
20210416,99598.79783806928
20210419,101488.57701219404
20210419,101488.57701219404
20210420,101146.15137894977
20210420,101146.15137894977
20210421,101126.76041395417
20210421,101126.76041395417
20210422,100999.07821500661
20210422,100999.07821500661
20210423,101129.00520583491
20210423,101129.00520583491
20210426,100437.1267750506
20210426,100437.1267750506
20210427,100132.40744683755
20210427,100132.40744683755
20210428,100940.28523260352
20210428,100940.28523260352
20210429,101595.18924362413
20210429,101595.18924362413
20210430,100582.37088152482
20210430,100582.37088152482
20210506,100238.58388357432
20210506,100238.58388357432
20210507,99600.076774461
20210507,99600.076774461
20210510,99908.0989422737
