time,symbol,buy/sell,quantity,price
20200110,000002.SZ,buy,635,31.46
20200110,000004.SZ,buy,895,22.33
20200110,000006.SZ,sell,0,5.46
20200113,000008.SZ,sell,0,3.74
20200113,000009.SZ,sell,0,7.07
20200114,000006.SZ,buy,3664,5.5
20200114,000008.SZ,buy,5331,3.78
20200115,000001.SZ,buy,1194,16.52
20200115,000002.SZ,sell,635,30.49
20200115,000005.SZ,sell,0,3.17
20200116,000008.SZ,sell,5331,3.61
20200117,000001.SZ,sell,1194,16.39
20200117,000004.SZ,sell,895,22.24
20200117,000005.SZ,buy,6259,3.13
20200117,000006.SZ,sell,3664,5.35
20200120,000005.SZ,sell,6259,3.14
20200120,000007.SZ,buy,2074,9.42
20200122,000004.SZ,buy,822,23.7
20200123,000007.SZ,sell,2074,9.11
20200123,000009.SZ,buy,3001,6.48
20200204,000004.SZ,sell,822,19.73
20200204,000009.SZ,sell,3001,6.23
20200207,000009.SZ,buy,2825,6.59
20200210,000001.SZ,buy,1284,14.5
20200210,000002.SZ,buy,649,28.67
20200210,000004.SZ,buy,850,21.9
20200210,000005.SZ,buy,6487,2.87
20200210,000006.SZ,buy,5,4.59
20200212,000001.SZ,sell,1284,14.77
20200213,000004.SZ,sell,850,21.3
20200214,000001.SZ,buy,1260,15.03
20200214,000005.SZ,sell,6487,2.8
20200217,000007.SZ,sell,0,8.11
20200217,000008.SZ,sell,0,3.23
20200217,000009.SZ,sell,2825,7.13
20200218,000004.SZ,buy,740,25.82
20200218,000008.SZ,buy,5792,3.3
20200219,000005.SZ,buy,6347,2.87
20200220,000002.SZ,sell,649,29.85
20200224,000005.SZ,sell,6347,2.9
20200224,000007.SZ,sell,0,8.67
20200225,000007.SZ,buy,2388,8.72
20200226,000001.SZ,sell,1260,14.99
20200226,000005.SZ,sell,0,2.98
20200226,000006.SZ,sell,5,4.84
20200226,000008.SZ,sell,5792,3.31
20200228,000002.SZ,buy,695,29.59
20200228,000005.SZ,buy,7378,2.79
20200302,000004.SZ,sell,740,44.77
20200302,000007.SZ,sell,2388,8.8
20200302,000009.SZ,sell,0,7.71
20200303,000004.SZ,buy,524,42.3
20200303,000005.SZ,sell,7378,2.95
20200303,000007.SZ,buy,2435,9.11
20200304,000006.SZ,buy,4369,5.1
20200305,000005.SZ,buy,7350,3.07
20200305,000008.SZ,buy,173,3.49
20200306,000004.SZ,sell,524,41.9
20200306,000009.SZ,buy,2741,8.01
20200310,000002.SZ,sell,695,30.8
20200310,000006.SZ,sell,4369,4.85
20200311,000001.SZ,sell,0,14.69
20200311,000005.SZ,sell,7350,3.09
20200311,000009.SZ,sell,2741,7.36
20200312,000005.SZ,buy,7256,2.97
20200313,000007.SZ,sell,2435,8.4
20200316,000001.SZ,buy,1546,13.75
20200316,000005.SZ,sell,7256,2.87
20200316,000008.SZ,sell,173,3.4
20200317,000001.SZ,sell,1546,13.41
20200323,000007.SZ,buy,2558,8.23
20200326,000001.SZ,buy,1615,13.06
20200326,000007.SZ,sell,2558,8.14
20200327,000002.SZ,buy,790,26.57
20200327,000005.SZ,buy,7503,2.8
20200327,000006.SZ,buy,4587,4.58
20200327,000008.SZ,buy,6425,3.26
20200331,000004.SZ,sell,0,30.51
20200331,000005.SZ,sell,7503,2.74
20200331,000006.SZ,sell,4587,4.48
20200331,000007.SZ,sell,0,8.09
20200331,000009.SZ,sell,0,5.88
20200401,000001.SZ,sell,1615,12.89
20200401,000002.SZ,sell,790,26.63
20200401,000008.SZ,sell,6425,3.16
20200403,000002.SZ,buy,771,26.77
20200403,000007.SZ,buy,2524,8.18
20200403,000009.SZ,buy,3247,6.36
20200407,000004.SZ,buy,659,31.34
20200407,000005.SZ,buy,7323,2.82
20200407,000006.SZ,buy,5,4.7
20200410,000007.SZ,sell,2524,8.06
20200413,000002.SZ,sell,771,27.04
20200413,000005.SZ,sell,7323,2.79
20200413,000006.SZ,sell,5,4.61
20200413,000008.SZ,sell,0,3.13
20200413,000009.SZ,sell,3247,6.03
20200414,000001.SZ,sell,0,12.86
20200415,000002.SZ,buy,755,26.7
20200415,000004.SZ,sell,659,29.65
20200415,000006.SZ,buy,4365,4.62
20200416,000001.SZ,buy,1589,12.68
20200416,000006.SZ,sell,4365,4.63
20200416,000007.SZ,buy,2491,8.09
20200417,000002.SZ,sell,755,26.72
20200417,000008.SZ,buy,6255,3.22
20200417,000009.SZ,buy,3132,6.43
20200420,000004.SZ,buy,690,29.27
20200420,000007.SZ,sell,2491,8.05
20200421,000001.SZ,sell,1589,13.45
20200421,000004.SZ,sell,690,29.18
20200422,000001.SZ,buy,1526,13.23
20200422,000006.SZ,buy,3967,5.09
20200423,000004.SZ,buy,702,28.79
20200423,000005.SZ,buy,373,2.72
20200423,000008.SZ,sell,6255,3.16
20200423,000009.SZ,sell,3132,6.29
20200424,000004.SZ,sell,702,28.05
20200424,000005.SZ,sell,373,2.73
20200427,000007.SZ,buy,2508,8.02
20200427,000008.SZ,buy,6132,3.28
20200428,000001.SZ,sell,1526,13.52
20200428,000009.SZ,buy,3087,6.53
20200429,000001.SZ,buy,1417,14.02
20200429,000005.SZ,buy,209,2.65
20200429,000006.SZ,sell,3967,4.95
20200429,000007.SZ,sell,2508,7.97
20200430,000002.SZ,buy,737,26.8
20200430,000005.SZ,sell,209,2.68
20200506,000008.SZ,sell,6132,3.17
20200508,000002.SZ,sell,737,26.26
20200508,000004.SZ,buy,690,29.09
20200508,000006.SZ,buy,4065,4.94
20200508,000008.SZ,buy,6055,3.15
20200511,000001.SZ,sell,1417,14.0
20200511,000005.SZ,buy,7375,2.69
20200511,000006.SZ,sell,4065,4.94
20200511,000008.SZ,sell,6055,3.13
20200512,000001.SZ,buy,1467,13.79
20200513,000002.SZ,buy,725,25.93
20200514,000001.SZ,sell,1467,13.3
20200514,000002.SZ,sell,725,25.49
20200514,000005.SZ,sell,7375,2.62
20200515,000009.SZ,sell,3087,7.24
20200518,000006.SZ,buy,4178,4.85
20200518,000007.SZ,sell,0,7.91
20200519,000004.SZ,sell,690,30.14
20200519,000006.SZ,sell,4178,4.84
20200520,000002.SZ,buy,784,25.61
20200521,000001.SZ,buy,1498,13.4
20200521,000008.SZ,buy,6694,3.0
20200522,000002.SZ,sell,784,25.16
20200522,000008.SZ,sell,6694,2.96
20200525,000001.SZ,sell,1498,12.96
20200525,000007.SZ,buy,2477,8.0
20200527,000005.SZ,buy,7717,2.57
20200528,000002.SZ,buy,758,26.14
20200528,000004.SZ,buy,688,28.79
20200528,000006.SZ,buy,4120,4.81
20200528,000009.SZ,buy,8,6.74
20200529,000007.SZ,sell,2477,8.19
20200529,000008.SZ,buy,6625,2.99
20200601,000007.SZ,buy,55,8.73
20200602,000004.SZ,sell,688,29.19
20200602,000005.SZ,sell,7717,2.65
20200603,000005.SZ,buy,7761,2.64
20200604,000004.SZ,buy,670,29.9
20200605,000007.SZ,sell,55,8.28
20200608,000002.SZ,sell,758,26.6
20200608,000008.SZ,sell,6625,3.0
20200610,000004.SZ,sell,670,28.26
20200610,000005.SZ,sell,7761,2.61
20200610,000006.SZ,sell,4120,5.19
20200610,000007.SZ,buy,2512,8.05
20200611,000006.SZ,buy,3942,5.13
20200611,000007.SZ,sell,2512,8.03
20200611,000009.SZ,sell,8,7.38
20200612,000001.SZ,sell,0,12.99
20200612,000006.SZ,sell,3942,5.3
20200612,000009.SZ,buy,2811,7.19
20200615,000006.SZ,buy,3490,5.83
20200616,000004.SZ,buy,706,28.77
20200616,000007.SZ,buy,2411,8.43
20200616,000009.SZ,sell,2811,7.38
20200617,000005.SZ,buy,7565,2.73
20200619,000002.SZ,buy,795,25.95
20200619,000009.SZ,buy,3,7.77
20200623,000004.SZ,sell,706,28.31
20200623,000005.SZ,sell,7565,2.67
20200623,000006.SZ,sell,3490,6.24
20200624,000002.SZ,sell,795,26.4
20200624,000006.SZ,buy,3303,6.34
20200630,000001.SZ,buy,1641,12.8
20200630,000002.SZ,buy,803,26.14
20200630,000007.SZ,sell,2411,8.73
20200630,000008.SZ,sell,0,2.94
20200701,000004.SZ,buy,699,30.2
20200702,000008.SZ,buy,6607,3.02
20200706,000004.SZ,sell,699,30.47
20200708,000004.SZ,buy,678,31.4
20200708,000007.SZ,buy,1,8.85
20200713,000001.SZ,sell,1641,14.89
20200713,000002.SZ,sell,803,29.2
20200715,000008.SZ,sell,6607,3.11
20200716,000004.SZ,sell,678,28.92
20200716,000007.SZ,sell,1,8.8
20200717,000005.SZ,sell,0,2.93
20200717,000006.SZ,sell,3303,7.14
20200717,000009.SZ,sell,3,9.55
20200722,000001.SZ,buy,1549,14.41
20200722,000005.SZ,buy,7544,2.96
20200722,000008.SZ,buy,7134,3.13
20200722,000009.SZ,buy,2202,10.14
20200723,000002.SZ,buy,811,27.52
20200723,000004.SZ,buy,1,29.78
20200724,000001.SZ,sell,1549,13.5
20200724,000008.SZ,sell,7134,3.03
20200727,000002.SZ,sell,811,26.68
20200727,000004.SZ,sell,1,29.08
20200727,000005.SZ,sell,7544,2.85
20200727,000006.SZ,sell,0,7.24
20200727,000007.SZ,sell,0,8.53
20200727,000009.SZ,sell,2202,8.64
20200730,000006.SZ,buy,2702,7.75
20200730,000008.SZ,buy,6867,3.05
20200731,000001.SZ,buy,1570,13.34
20200731,000002.SZ,buy,780,26.84
20200731,000005.SZ,buy,7172,2.92
20200731,000007.SZ,buy,1,8.6
20200804,000001.SZ,sell,1570,14.04
20200804,000008.SZ,sell,6867,3.11
20200805,000001.SZ,buy,1616,13.76
20200805,000004.SZ,buy,725,29.19
20200805,000008.SZ,buy,2,3.1
20200807,000007.SZ,sell,1,8.63
20200807,000009.SZ,sell,0,8.22
20200810,000001.SZ,sell,1616,13.95
20200810,000002.SZ,sell,780,27.81
20200810,000004.SZ,sell,725,28.61
20200810,000005.SZ,sell,7172,2.99
20200810,000006.SZ,sell,2702,8.56
20200810,000008.SZ,sell,2,3.17
20200811,000008.SZ,buy,6934,3.16
20200812,000001.SZ,buy,1523,14.38
20200812,000002.SZ,buy,763,28.71
20200812,000007.SZ,buy,2515,8.71
20200817,000008.SZ,sell,6934,3.18
20200818,000002.SZ,sell,763,27.7
20200818,000005.SZ,buy,7184,3.11
20200818,000006.SZ,buy,2634,8.48
20200818,000008.SZ,buy,6451,3.17
20200820,000008.SZ,sell,6451,3.15
20200821,000004.SZ,sell,0,26.7
20200821,000006.SZ,sell,2634,7.38
20200821,000007.SZ,sell,2515,9.05
20200821,000009.SZ,sell,0,7.9
20200824,000001.SZ,sell,1523,14.46
